gens,-r,-c,-e,-rt,-ct,-et,-rb,-ra,-cb,-ca,-eb,-ea,-rtb,-rta,-ctb,-cta,-etb,-eta
5,4.3,0.8,0.2,2.7,1.6,0.2,1.7,2.1,21.3,1.0,0.2,0.4,2.7,2.7,1.7,1.7,0.5,0.5
10,8.7,1.6,0.3,5.3,3.2,0.4,3.4,4.2,42.5,2.0,0.4,0.8,5.4,5.4,3.4,3.4,0.9,0.9
25,21.8,3.9,0.7,13.4,8.1,1.0,8.5,10.5,106.1,3.9,0.8,1.6,9.6,9.6,6.5,6.5,1.8,2.2
50,42.9,7.8,1.4,26.8,16.1,2.1,17.0,20.9,212.2,7.8,1.5,3.1,19.1,19.1,13.0,13.0,3.5,4.3
100,85.8,12.6,2.3,40.3,25.9,3.3,27.4,33.7,367.1,15.5,3.0,6.3,38.3,38.3,25.9,25.9,7.0,8.5
250,206.2,29.8,5.5,95.1,61.2,7.9,64.7,79.6,809.3,38.8,7.4,15.7,95.7,95.8,64.7,64.7,17.4,17.3
500,337.4,59.5,11.0,190.2,122.4,15.8,129.4,159.1,1618.6,77.4,14.8,31.5,191.6,191.7,129.4,129.4,34.7,34.7
1000,674.7,118.9,22.1,380.4,244.7,31.4,258.7,318.1,3237.3,154.9,29.7,62.7,385.5,385.6,260.4,260.4,69.8,69.8
2500,1698.2,299.1,56.3,956.7,615.7,79.1,651.3,801.1,8150.8,389.4,74.5,158.0,964.1,964.3,651.2,651.3,174.3,174.5
5000,3397.0,598.4,113.1,1913.7,1231.9,158.4,1302.8,1603.4,16302.1,779.2,149.2,316.2,1938.3,1938.5,1309.5,1309.4,350.6,350.9
10000,6821.2,1202.0,228.7,3847.7,2475.0,318.5,2616.8,3222.2,32630.9,1558.4,298.4,635.3,3879.9,3880.6,2620.7,2620.7,701.4,702.0
25000,17096.4,3010.3,574.4,9629.6,6197.9,796.5,6560.8,8076.8,81571.9,3897.4,749.0,1588.0,9696.8,9699.0,6549.9,6552.3,1754.0,1755.3
50000,34191.6,6022.2,1155.6,19263.1,12395.7,1594.8,13124.0,16152.3,163337.5,7797.4,1499.4,3181.1,19401.5,19404.1,13103.2,13104.6,3512.8,3515.4
100000,68391.1,12043.8,2326.8,38529.1,24794.9,3196.2,26249.4,32312.9,326381.3,15619.5,3001.2,6360.3,38803.7,38808.3,26200.6,26207.0,7029.0,7056.3
