res,-r,-c,-e,-rt,-ct,-et,-rb,-ra,-cb,-ca,-eb,-ea,-rtb,-rta,-ctb,-cta,-etb,-eta
5,5,4.0,4.0,3.3,7.6,7.8,4.1,4.5,4.4,10.1,4.3,4.5,3.3,8.2,8.2,8.4,8.4,4.2,4.3
10,10,5.1,5.0,3.3,9.3,9.7,4.1,5.7,5.6,30.5,5.4,6.8,3.4,10.1,10.3,10.4,10.5,4.3,4.4
25,25,7.9,9.5,3.4,17.4,19.4,4.4,9.4,9.0,172.5,7.0,9.9,3.0,15.0,15.2,15.4,15.5,3.7,4.4
50,50,13.3,17.6,3.4,31.9,39.8,4.5,15.8,15.4,398.5,12.0,12.2,3.8,27.1,27.3,28.4,28.5,4.4,5.5
100,100,26.9,33.1,4.0,57.5,73.8,4.9,29.3,28.2,761.8,22.6,12.2,5.2,49.3,49.5,53.5,53.6,5.8,7.3
250,250,190.5,63.2,5.7,109.0,133.7,7.7,71.1,64.7,1717.1,72.4,12.1,14.6,117.4,117.5,139.3,139.4,15.9,15.9
500,500,301.6,124.4,14.8,214.9,268.2,21.3,142.9,132.0,3409.4,154.3,17.6,42.3,230.2,230.3,273.3,273.4,45.9,46.0
750,750,548.8,186.4,29.6,337.4,375.3,42.1,215.4,241.6,5094.0,237.2,42.5,89.9,349.2,349.2,416.2,416.2,101.3,101.3
1000,1000,620.4,419.3,53.3,485.0,670.0,84.6,325.2,384.5,6722.7,317.6,54.5,137.8,456.6,456.6,585.3,585.3,148.6,148.6
1500,1500,970.5,625.8,121.0,770.8,992.8,179.9,590.9,703.7,10101.7,502.0,119.3,267.1,770.5,770.5,896.7,896.7,278.3,278.2
2000,2000,1351.3,840.0,215.1,1039.0,1386.5,340.9,724.1,852.1,13466.5,700.6,209.8,445.3,1004.8,1004.8,1189.4,1189.7,466.7,466.7
3000,3000,2204.9,1265.3,494.5,1755.2,2067.7,750.1,1302.3,1593.7,20947.2,1725.1,473.0,1221.9,1591.3,1589.2,3267.3,2944.7,1568.6,1262.6
4000,4000,3121.5,1702.2,898.5,2750.6,3126.1,1347.6,1453.4,1864.1,27886.2,3049.7,846.0,2998.7,2322.3,2321.8,4823.6,4707.4,3271.1,3119.7
5000,5000,7497.2,2267.9,1416.9,5697.9,6858.2,2117.2,4817.2,6000.0,46005.8,4458.2,1323.3,4455.1,5087.8,5072.9,9595.7,9582.2,4625.7,4615.4
7500,7500,16232.7,3578.4,3213.8,10628.7,10389.5,4651.3,6109.9,13028.4,69244.3,7823.0,3009.7,8917.8,8900.0,8885.8,16511.5,16504.8,9124.1,9161.5
10000,10000,56671.7,5495.6,5748.1,19192.2,21914.3,8836.3,13348.6,48185.9,92505.6,14698.1,5377.1,18044.5,16528.9,16520.4,32249.2,32181.4,18461.5,18460.6
